row,col,latitude,longitude,avg_concentration,max_concentration,frequency,hotspot_score
5,12,-19.465650,-65.820770,0.000000,0.000000,2,0.000000
5,13,-19.465650,-65.810770,0.000000,0.000000,2,0.000000
5,14,-19.465650,-65.800770,0.000000,0.000000,2,0.000000
5,20,-19.465650,-65.740770,0.000001,0.000001,1,0.000001
5,21,-19.465650,-65.730770,0.000001,0.000001,1,0.000001
5,22,-19.465650,-65.720770,0.000004,0.000010,3,0.000012
5,23,-19.465650,-65.710770,0.000006,0.000010,4,0.000022
5,24,-19.465650,-65.700770,0.000006,0.000010,4,0.000022
5,25,-19.465650,-65.690770,0.000006,0.000010,5,0.000032
5,26,-19.465650,-65.680770,0.000006,0.000010,6,0.000033
5,27,-19.465650,-65.670770,0.000007,0.000010,9,0.000063
5,28,-19.465650,-65.660770,0.000007,0.000010,9,0.000063
5,29,-19.465650,-65.650770,0.000001,0.000001,3,0.000003
6,11,-19.475650,-65.830770,0.000000,0.000000,2,0.000000
6,12,-19.475650,-65.820770,0.000000,0.000000,2,0.000000
6,13,-19.475650,-65.810770,0.000000,0.000000,2,0.000000
6,14,-19.475650,-65.800770,0.000000,0.000000,2,0.000000
6,15,-19.475650,-65.790770,0.000000,0.000000,2,0.000000
6,20,-19.475650,-65.740770,0.000001,0.000001,1,0.000001
6,21,-19.475650,-65.730770,0.000006,0.000010,2,0.000011
6,22,-19.475650,-65.720770,0.000006,0.000010,4,0.000022
6,23,-19.475650,-65.710770,0.000006,0.000010,4,0.000022
6,24,-19.475650,-65.700770,0.000006,0.000010,7,0.000042
6,25,-19.475650,-65.690770,0.000006,0.000010,7,0.000043
6,26,-19.475650,-65.680770,0.000006,0.000010,10,0.000063
6,27,-19.475650,-65.670770,0.000006,0.000010,10,0.000063
6,28,-19.475650,-65.660770,0.000006,0.000010,11,0.000064
6,29,-19.475650,-65.650770,0.000004,0.000010,9,0.000033
6,30,-19.475650,-65.640770,0.000000,0.000000,3,0.000000
6,31,-19.475650,-65.630770,0.000000,0.000000,3,0.000000
6,32,-19.475650,-65.620770,0.000000,0.000000,3,0.000000
7,11,-19.485650,-65.830770,0.000000,0.000000,2,0.000000
7,12,-19.485650,-65.820770,0.000000,0.000000,2,0.000000
7,13,-19.485650,-65.810770,0.000000,0.000000,4,0.000000
7,14,-19.485650,-65.800770,0.000000,0.000000,4,0.000000
7,15,-19.485650,-65.790770,0.000000,0.000000,4,0.000000
7,16,-19.485650,-65.780770,0.000000,0.000000,2,0.000000
7,18,-19.485650,-65.760770,0.000001,0.000001,1,0.000001
7,19,-19.485650,-65.750770,0.000000,0.000001,3,0.000001
7,20,-19.485650,-65.740770,0.000002,0.000010,5,0.000012
7,21,-19.485650,-65.730770,0.000004,0.000010,6,0.000022
7,22,-19.485650,-65.720770,0.000003,0.000010,8,0.000024
7,23,-19.485650,-65.710770,0.000004,0.000010,8,0.000034
7,24,-19.485650,-65.700770,0.000005,0.000010,14,0.000076
7,25,-19.485650,-65.690770,0.000005,0.000010,16,0.000086
7,26,-19.485650,-65.680770,0.000006,0.000010,19,0.000106
7,27,-19.485650,-65.670770,0.000005,0.000010,18,0.000096
7,28,-19.485650,-65.660770,0.000005,0.000010,13,0.000064
7,29,-19.485650,-65.650770,0.000003,0.000010,10,0.000033
7,30,-19.485650,-65.640770,0.000000,0.000000,3,0.000000
7,31,-19.485650,-65.630770,0.000000,0.000000,3,0.000000
7,32,-19.485650,-65.620770,0.000000,0.000000,3,0.000000
8,11,-19.495650,-65.830770,0.000000,0.000000,2,0.000000
8,12,-19.495650,-65.820770,0.000000,0.000000,2,0.000000
8,13,-19.495650,-65.810770,0.000000,0.000000,4,0.000000
8,14,-19.495650,-65.800770,0.000000,0.000000,4,0.000000
8,15,-19.495650,-65.790770,0.000000,0.000000,4,0.000000
8,16,-19.495650,-65.780770,0.000000,0.000000,2,0.000000
8,18,-19.495650,-65.760770,0.000001,0.000001,1,0.000001
8,19,-19.495650,-65.750770,0.000002,0.000010,5,0.000012
8,20,-19.495650,-65.740770,0.000005,0.000010,9,0.000042
8,21,-19.495650,-65.730770,0.000005,0.000010,11,0.000053
8,22,-19.495650,-65.720770,0.000012,0.000100,14,0.000164
8,23,-19.495650,-65.710770,0.000010,0.000100,18,0.000176
8,24,-19.495650,-65.700770,0.000016,0.000100,18,0.000287
8,25,-19.495650,-65.690770,0.000013,0.000100,23,0.000307
8,26,-19.495650,-65.680770,0.000013,0.000100,23,0.000307
8,27,-19.495650,-65.670770,0.000018,0.000100,23,0.000406
8,28,-19.495650,-65.660770,0.000020,0.000100,19,0.000374
8,29,-19.495650,-65.650770,0.000010,0.000100,16,0.000164
8,30,-19.495650,-65.640770,0.000000,0.000000,3,0.000000
8,31,-19.495650,-65.630770,0.000000,0.000001,4,0.000001
8,32,-19.495650,-65.620770,0.000000,0.000000,3,0.000000
9,11,-19.505650,-65.830770,0.000000,0.000000,2,0.000000
9,12,-19.505650,-65.820770,0.000000,0.000000,2,0.000000
9,13,-19.505650,-65.810770,0.000000,0.000000,4,0.000000
9,14,-19.505650,-65.800770,0.000000,0.000000,4,0.000000
9,15,-19.505650,-65.790770,0.000000,0.000000,4,0.000000
9,16,-19.505650,-65.780770,0.000000,0.000000,2,0.000000
