row,col,latitude,longitude,avg_concentration,max_concentration,frequency,hotspot_score
5,22,-19.466020,-65.720770,0.000001,0.000001,1,0.000001
5,23,-19.466020,-65.710770,0.000001,0.000001,1,0.000001
5,24,-19.466020,-65.700770,0.000001,0.000001,2,0.000002
5,25,-19.466020,-65.690770,0.000004,0.000010,3,0.000012
5,26,-19.466020,-65.680770,0.000001,0.000001,3,0.000003
5,27,-19.466020,-65.670770,0.000003,0.000010,4,0.000013
5,28,-19.466020,-65.660770,0.000003,0.000010,4,0.000013
5,29,-19.466020,-65.650770,0.000001,0.000001,1,0.000001
6,22,-19.476020,-65.720770,0.000001,0.000001,1,0.000001
6,23,-19.476020,-65.710770,0.000001,0.000001,1,0.000001
6,24,-19.476020,-65.700770,0.000004,0.000010,3,0.000012
6,25,-19.476020,-65.690770,0.000003,0.000010,4,0.000013
6,26,-19.476020,-65.680770,0.000005,0.000010,5,0.000023
6,27,-19.476020,-65.670770,0.000006,0.000010,6,0.000033
6,28,-19.476020,-65.660770,0.000006,0.000010,6,0.000033
6,29,-19.476020,-65.650770,0.000002,0.000010,6,0.000013
6,30,-19.476020,-65.640770,0.000000,0.000000,2,0.000000
6,31,-19.476020,-65.630770,0.000000,0.000000,2,0.000000
6,32,-19.476020,-65.620770,0.000000,0.000000,2,0.000000
7,21,-19.486020,-65.730770,0.000001,0.000001,2,0.000002
7,22,-19.486020,-65.720770,0.000001,0.000001,2,0.000002
7,23,-19.486020,-65.710770,0.000003,0.000010,4,0.000013
7,24,-19.486020,-65.700770,0.000002,0.000010,6,0.000015
7,25,-19.486020,-65.690770,0.000005,0.000010,7,0.000034
7,26,-19.486020,-65.680770,0.000005,0.000010,9,0.000045
7,27,-19.486020,-65.670770,0.000005,0.000010,7,0.000034
7,28,-19.486020,-65.660770,0.000006,0.000010,6,0.000033
7,29,-19.486020,-65.650770,0.000003,0.000010,7,0.000023
7,30,-19.486020,-65.640770,0.000000,0.000000,2,0.000000
7,31,-19.486020,-65.630770,0.000000,0.000000,2,0.000000
7,32,-19.486020,-65.620770,0.000000,0.000000,2,0.000000
8,20,-19.496020,-65.740770,0.000001,0.000001,1,0.000001
8,21,-19.496020,-65.730770,0.000001,0.000001,2,0.000002
8,22,-19.496020,-65.720770,0.000005,0.000010,5,0.000023
8,23,-19.496020,-65.710770,0.000016,0.000100,8,0.000125
8,24,-19.496020,-65.700770,0.000014,0.000100,10,0.000136
8,25,-19.496020,-65.690770,0.000019,0.000100,13,0.000246
8,26,-19.496020,-65.680770,0.000017,0.000100,15,0.000256
8,27,-19.496020,-65.670770,0.000018,0.000100,20,0.000357
8,28,-19.496020,-65.660770,0.000018,0.000100,19,0.000346
8,29,-19.496020,-65.650770,0.000015,0.000100,16,0.000235
