Station,Date,Time,Campaign,Institution,River,Latitude,Longitude,Average Velocity (m/s),Flow (m3/s),Distance from Bank,Conductivity (uS/cm),Bulk Density (g/cm3),Real Density (g/cm3),Moisture (%),Organic Matter (%),pH,Sand (%),Silt (%),Clay (%),Textural Classification,0.032 mm - No. 450 (ASTM) (%),0.063 mm - No. 230 (ASTM) (%),0.125 mm - No. 120 (ASTM) (%),0.250 mm - No. 060 (ASTM) (%),0.500 mm - No. 035 (ASTM) (%),1.00 mm - No. 018 (ASTM) (%),2.00 mm - No. 010 (ASTM) (%),Residue (%),Sieve Size,Aluminum (g/100 g fraction) (% Al),Antimony (mg/kg Sb),Arsenic (mg/kg As),Sulfur (g/100 g fraction) (% S),Barium (mg/kg Ba),Beryllium (mg/kg Be),Bismuth (mg/kg Bi),Boron (mg/kg B),Cadmium (mg/kg Cd),Calcium (g/100 g fraction) (% Ca),Cerium (mg/kg Ce),Cesium (mg/kg Cs),Cobalt (mg/kg Co),Copper (mg/kg Cu),Chromium (mg/kg Cr),Dysprosium (mg/kg Dy),Erbium (mg/kg Er),Scandium (mg/kg Sc),Tin (mg/kg Sn),Strontium (mg/kg Sr),Europium (mg/kg Eu),Phosphorus (g/100 g fraction) (% P),Gadolinium (mg/kg Gd),Gallium (mg/kg Ga),Germanium (mg/kg Ge),Hafnium (mg/kg Hf),Iron (g/100 g fraction) (% Fe),Holmium (mg/kg Ho),Indium (mg/kg In),Ytterbium (mg/kg Yb),Yttrium (mg/kg Y),Lanthanum (mg/kg La),Lithium (mg/kg Li),Lutetium (mg/kg Lu),Magnesium (g/100 g fraction) (% Mg),Manganese (mg/kg Mn),Mercury (ug/kg fraction) (ug/kg Hg),Molybdenum (mg/kg Mo),Neodymium (mg/kg Nd),Niobium (mg/kg Nb),Nickel (mg/kg Ni),Gold (ug/kg fraction) (ug/kg Au),Silver (mg/kg Ag),Lead (mg/kg Pb),Potassium (g/100 g fraction) (% K),Praseodymium (mg/kg Pr),Rhenium (mg/kg Re),Rubidium (mg/kg Rb),Samarium (mg/kg Sm),Selenium (mg/kg Se),Sodium (g/100 g fraction) (% Na),Thallium (mg/kg Tl),Tantalum (mg/kg Ta),Tellurium (mg/kg Te),Terbium (mg/kg Tb),Titanium (g/100 g fraction) (% Ti),Thorium (mg/kg Th),Thulium (mg/kg Tm),Uranium (mg/kg U),Vanadium (mg/kg V),Tungsten (mg/kg W),Zinc (mg/kg Zn),Zirconium (mg/kg Zr),Lat_dd,Long_dd,data_source,Apparent Density (g/cm3),0.016 mm (%),4.75 mm - No. 004 (ASTM) (%)
Villamontes,2016-11-30,7:50,November 2016,DE - CTN,Pilcomayo,"21° 15' 31.8""","63° 30' 41.6""",1.365,206.574,0,354,1.47,2.78,26.7,0.63,8.4,95.5,3,1.5,Arena,2.41,26.63,67.86,0.005,0.005,0.005,0.005,3.11,0.063 mm - N° 230 (ASTM),1.08,2.58,8.5,0.5,350,0.7,0.3,8,0.09,0.4,62.5,2.4,140,13.5,17,2.2,0.8,2.7,2.66,33.2,0.9,0.05,4.3,3.62,0.05,0.1,2.23,0.4,0.05,0.6,8.12,28.6,12.6,0.1,0.24,252,290,0.69,28.7,0.3,12.4,0.25,0.15,15.9,0.35,7.9,5e-4,18.7,5.3,0.05,0.07,0.13,0.025,0.24,0.4,0.04,7.5,0.1,0.9,40,300,52.7,7.5,-21.258833,-63.511556,sed_2016_clean.xlsx,NA,NA,NA
Villamontes,2016-11-30,7:50,November 2016,DE - CTN,Pilcomayo,"21° 15' 31.8""","63° 30' 41.6""",1.365,206.574,0,354,1.47,2.78,26.7,0.63,8.4,95.5,3,1.5,Arena,2.41,26.63,67.86,0.005,0.005,0.005,0.005,3.11,0.125 mm - N° 120 (ASTM),0.74,1.08,6.7,0.5,115,0.4,0.16,5,0.03,0.31,24.6,1.65,89,8.28,10,1.2,0.5,1.7,1.66,23,0.4,0.03,2.1,2.47,0.05,0.1,1.28,0.2,0.02,0.3,4.78,10.8,9.5,0.05,0.18,158,5,0.39,11.4,0.1,8.9,0.25,0.11,9.2,0.23,3,5e-4,12.3,2.2,0.05,0.06,0.07,0.025,0.14,0.2,0.01,3.3,0.1,0.4,19,300,32.7,2.8,-21.258833,-63.511556,sed_2016_clean.xlsx,NA,NA,NA
Villamontes,2016-11-30,7:50,November 2016,DE - CTN,Pilcomayo,"21° 15' 31.8""","63° 30' 41.6""",1.365,206.574,0.3,294,1.45,2.59,22.9,0.85,8.3,95.4,3.1,1.5,Arena,7.2,45.65,38.23,0.005,0.005,0.005,0.005,7.91,0.063 mm - N° 230 (ASTM),1.12,1.74,7.1,0.5,217,0.6,0.21,7,0.07,0.38,34,2.59,94.1,12.1,14,1.6,0.6,2.6,1.59,30.2,0.6,0.037,2.8,3.6,0.05,0.1,1.87,0.3,0.04,0.5,6.2,15.4,13.5,0.1,0.25,234,5,0.51,15.6,0.1,11.8,0.25,0.081,13.2,0.35,4.2,5e-4,19.8,3.1,0.05,0.068,0.11,0.025,0.11,0.3,0.019,4.7,0.1,0.6,27,300,48.4,4,-21.258833,-63.511556,sed_2016_clean.xlsx,NA,NA,NA
Villamontes,2016-11-30,7:50,November 2016,DE - CTN,Pilcomayo,"21° 15' 31.8""","63° 30' 41.6""",1.365,206.574,0.3,294,1.45,2.59,22.9,0.85,8.3,95.4,3.1,1.5,Arena,7.2,45.65,38.23,0.005,0.005,0.005,0.005,7.91,0.125 mm - N° 120 (ASTM),0.73,0.95,5.5,0.5,103,0.5,0.16,4,0.06,0.31,21,1.77,99.3,8.86,9,1.1,0.5,4.7,1.24,23.1,0.4,0.027,1.9,2.42,0.05,0.1,1.26,0.2,0.02,0.3,4.53,9.3,9.7,0.05,0.21,156,5,0.34,9.45,0.05,8.6,0.25,0.081,9.23,0.22,2.6,5e-4,12.4,2.1,0.05,0.048,0.05,0.025,0.06,0.2,0.01,3.2,0.1,0.4,16,129,33.5,2.1,-21.258833,-63.511556,sed_2016_clean.xlsx,NA,NA,NA
Misión La Paz - SNIH,2016-11-29,13:45,November 2016,DE - CTN,Pilcomayo,"22° 22' 41.3""","62° 31' 6.6""",0.85,21.93,0,975,1.24,2.54,35.3,2.43,7.8,75,19,6,Franco arenoso,35.01,26.46,1.15,0.005,0.005,0.005,0.005,37.38,0.032 mm - N° 450 (ASTM),1.77,2.27,12.1,0.5,245,1.1,0.33,10,0.11,0.48,42.4,4.77,39.9,18.8,21,2.1,0.8,3.9,2.24,38.7,0.7,0.045,3.6,5.16,0.05,0.1,2.72,0.3,0.06,0.5,7.63,19.7,24,0.1,0.45,331,5,0.58,19.2,0.1,20.4,0.25,0.099,17.5,0.55,5.2,5e-4,30.3,3.8,0.05,0.074,0.19,0.025,0.06,0.4,0.016,7.6,0.1,0.9,33,300,80.6,4.4,-22.378139,-62.5185,sed_2016_clean.xlsx,NA,NA,NA
Misión La Paz - SNIH,2016-11-29,13:45,November 2016,DE - CTN,Pilcomayo,"22° 22' 41.3""","62° 31' 6.6""",0.85,21.93,0,975,1.24,2.54,35.3,2.43,7.8,75,19,6,Franco arenoso,35.01,26.46,1.15,0.005,0.005,0.005,0.005,37.38,0.063 mm - N° 230 (ASTM),1.74,2.22,10.5,0.5,196,1,0.31,11,0.14,0.48,32,4.69,87.7,16,19,1.7,0.7,3.8,2.68,44,0.6,0.037,2.9,5.36,0.05,0.1,2.38,0.3,0.06,0.5,6.8,14.5,22.4,0.1,0.44,293,5,0.49,14.7,0.2,18.2,0.25,0.124,18.5,0.55,3.8,5e-4,31.7,2.9,0.05,0.1,0.21,0.025,0.04,0.3,0.024,5.5,0.1,0.7,31,300,75.5,3.9,-22.378139,-62.5185,sed_2016_clean.xlsx,NA,NA,NA
Misión La Paz - SNIH,2016-11-29,13:45,November 2016,DE - CTN,Pilcomayo,"22° 22' 41.3""","62° 31' 6.6""",0.85,21.93,0.4,1215,1.32,2.7,30.2,2.08,7.8,89,5,6,Arena,35.85,9.87,0.005,0.005,0.005,0.005,0.005,54.28,0.032 mm - N° 450 (ASTM),1.71,2.26,12.9,0.5,211,1.1,0.37,9,0.16,0.5,34.4,5.12,51.4,20.2,21,1.9,0.7,4,2.14,39.2,0.6,0.041,3.2,5.47,0.05,0.1,2.84,0.3,0.06,0.6,7.17,15.5,25,0.1,0.49,349,5,0.59,15.7,0.2,22,0.25,0.107,18.2,0.51,4.1,5e-4,29.2,3.1,0.05,0.08,0.19,0.025,0.02,0.4,0.013,6.6,0.1,0.8,32,300,85.3,4,-22.378139,-62.5185,sed_2016_clean.xlsx,NA,NA,NA
Misión La Paz - SNIH,2016-11-29,13:45,November 2016,DE - CTN,Pilcomayo,"22° 22' 41.3""","62° 31' 6.6""",0.85,21.93,1.5,2350,1.29,2.74,21.8,1.58,8.6,87.5,7.5,5,Arena,31.89,31.45,1.79,0.005,0.005,0.005,0.005,34.86,0.032 mm - N° 450 (ASTM),1.95,2.37,11.6,0.5,270,1.2,0.36,13,0.15,0.49,46.7,4.67,52.1,23.6,22,2.2,0.8,4.1,2.21,44.2,0.7,0.044,3.9,5.85,0.05,0.1,2.78,0.4,0.05,0.6,8.3,21.7,24.4,0.1,0.48,309,5,0.57,20.9,0.1,20.1,0.25,0.095,18.1,0.62,5.7,5e-4,33.9,3.9,0.05,0.098,0.21,0.025,0.04,0.4,0.019,8.3,0.1,0.9,37,300,82.1,5.9,-22.378139,-62.5185,sed_2016_clean.xlsx,NA,NA,NA
Misión La Paz - SNIH,2016-11-29,13:45,November 2016,DE - CTN,Pilcomayo,"22° 22' 41.3""","62° 31' 6.6""",0.85,21.93,1.5,2350,1.29,2.74,21.8,1.58,8.6,87.5,7.5,5,Arena,31.89,31.45,1.79,0.005,0.005,0.005,0.005,34.86,0.063 mm - N° 230 (ASTM),1.4,2.05,11.9,0.5,159,0.8,0.3,9,0.13,0.52,28.9,4.07,96.6,15.1,17,1.6,0.6,3.2,2.13,40.9,0.5,0.036,2.7,4.48,0.05,0.1,2.3,0.3,0.06,0.4,6.03,13,20.5,0.1,0.43,264,5,0.9,13.3,0.2,17.4,0.25,0.278,16,0.43,3.5,5e-4,24.1,2.8,0.05,0.088,0.26,0.025,0.55,0.3,0.019,4.8,0.1,0.6,26,300,72.1,3.6,-22.378139,-62.5185,sed_2016_clean.xlsx,NA,NA,NA
El Puente,2016-11-17,10:55,November 2016,DE - CTN,San Juan del Oro,"21° 14' 21.4""","65° 12' 33.7""",0.172,0.17,1,712,1.59,2.57,23,1.43,8.1,93.63,5.37,1,Arena,4.49,13.22,37.89,33.47,0.005,0.005,0.005,10.93,0.125 mm - N° 120 (ASTM),1.73,3.44,21.7,0.5,138,0.9,0.45,13,0.24,1.01,48.3,5.14,96.7,16.6,16,1.6,0.6,2.5,4.6,92.4,0.8,0.042,3.1,4.62,0.05,0.1,2.09,0.3,0.05,0.5,6.21,23,16.7,0.1,0.34,259,5,1.12,22.7,0.1,15.5,0.25,0.229,22.5,0.36,6.1,5e-4,20.2,4,0.05,0.219,0.2,0.025,0.09,0.3,0.022,5.5,0.1,0.9,27,300,87.9,4.3,-21.239278,-65.209361,sed_2016_clean.xlsx,NA,NA,NA
