Station,Code,Date,Time,Campaign,Responsible,Institution,River,Basin,Latitude,Longitude,Latitude Decimal,Longitude Decimal,Average Velocity (m/s),Flow (m3/s),Resistivity (Ohm.cm),Partial Pressure (mm Hg),pH,pH (mV),Specific Conductivity (T ref. 25C) (uS/cm),Salinity (Sal),Temperature (C),Dissolved Oxygen (mg/l O2),Oxygen Saturation (%),Turbidity (NTU),Total Solids (mg/l),Total Dissolved Solids (mg/l),Total Suspended Solids (mg/l),Color (u PtCo),Total Hardness (mg/l CaCO3),Phenolphthalein Alkalinity (mg/l CaCO3),Total Alkalinity (mg/l CaCO3),Chlorides (mg/l Cl-),Sulfates (mg/l SO4),Dissolved Calcium (mg/l Ca),Dissolved Magnesium (mg/l Mg),Dissolved Sodium (mg/l Na),Dissolved Potassium (mg/l K),Total Calcium (mg/l Ca),Total Magnesium (mg/l Mg),Total Sodium (mg/l Na),Total Potassium (mg/l K),Total Phosphorus (mg/l PO4),Dissolved Phosphorus (mg/l PO4),Ammoniacal Nitrogen (mg/l NH4),Nitrite (mg/l NO2),Nitrate (mg/l NO3),Total Kjeldahl Nitrogen (mg/l N),Biochemical Oxygen Demand (mg/l O2),Chemical Oxygen Demand (mg/l O2),Dissolved Organic Carbon (mg/l),Total Coliforms (CFU/100 ml),Fecal Coliforms (CFU/100 ml),Total Coliforms (MPN) (MPN/100 ml),Fecal Coliforms (MPN) (MPN/100 ml),Total Mesophilic Aerobes (CFU/100 ml),Dissolved Bismuth (ug/l Bi),Total Bismuth (ug/l Bi),Dissolved Thallium (ug/l Tl),Total Thallium (ug/l Tl),Dissolved Chromium (ug/l Cr),Dissolved Manganese (ug/l Mn),Dissolved Nickel (ug/l Ni),Dissolved Copper (ug/l Cu),Dissolved Zinc (ug/l Zn),Dissolved Arsenic (ug/l As),Dissolved Cadmium (ug/l Cd),Dissolved Lead (ug/l Pb),Dissolved Silver (ug/l Ag),Dissolved Mercury (ug/l Hg),Dissolved Iron (ug/l Fe),Dissolved Boron (ug/l B),Dissolved Selenium (ug/l Se),Total Chromium (ug/l Cr),Total Manganese (ug/l Mn),Total Nickel (ug/l Ni),Total Copper (ug/l Cu),Total Zinc (ug/l Zn),Total Arsenic (ug/l As),Total Cadmium (ug/l Cd),Total Lead (ug/l Pb),Total Silver (ug/l Ag),Total Mercury (ug/l Hg),Total Iron (ug/l Fe),Total Boron (ug/l B),Total Selenium (ug/l Se),Cyanides (mg/l CN-),Sulfides (mg/l S),Phenols (mg/l C6H6O),Total Hydrocarbons (mg/l),Suspended Thallium (mg/kg Tl),Suspended Selenium (mg/kg Se),Suspended Zinc (mg/kg Zn),Suspended Lead (mg/kg Pb),Suspended Arsenic (mg/kg As),Suspended Bismuth (mg/kg Bi),Suspended Boron (mg/kg B),Suspended Cadmium (mg/kg Cd),Suspended Copper (mg/kg Cu),Suspended Chromium (mg/kg Cr),Suspended Iron (mg/kg Fe),Suspended Manganese (mg/kg Mn),Suspended Nickel (mg/kg Ni),Suspended Silver (mg/kg Ag),data_source,Total Mesophilic Aerobes (MPN) (MPN/100 ml),Suspended Mercury (mg/kg Hg),Fluorides (mg/l F),pH in laboratory,Settleable Solids (ml/l),Total Organic Carbon (mg/l),Total Mesophilic Aerobes (MPN/100 ml),Total Coliforms (MPN/100 ml),Fecal Coliforms (MPN/100 ml)
Villamontes,BVI-150,2016-11-30,7:50,November 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 7,"21° 15' 31.8""","63° 30' 41.6""",-21.2588,-63.5116,1.365,207,1204,111.3,7.454,-50.4,826,0.3,24.1,9.56,56.3,1650,45033,648,44385,NA,233.4,5,220,119.3,51.6,55.41,22.76,102,8.2,55.92,23.05,103.3,8.2,NA,NA,NA,NA,NA,NA,60,70,NA,NA,NA,NA,NA,NA,0.05,16,0.05,12,0.9,731,3,1,0.7,2,0.05,0.1,0.05,0.02,203,183,1,636,16805,742,590,2412,261,6,1026,3,0.05,752440,532,12.5,NA,5e-4,NA,NA,0.27,NA,54.33,22.93,5.84,0.36,7.86,0.14,13.29,14.31,16948,362.15,16.65,0.07,water_2016_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Misión La Paz - SNIH,AML-170,2016-11-29,13:45,November 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Cuenca Baja,"22° 22' 41.3""","62° 31' 6.6""",-22.3781,-62.5185,0.85,22,856,193.8,8.062,-85.8,1168,0.5,25.6,7.69,96.9,910,4250,710,3440,6,272,NA,107,198,173,68,24,124,8.2,NA,NA,NA,NA,NA,NA,0.025,0.015,NA,NA,3,13,NA,NA,NA,NA,NA,NA,0.05,1,0.05,0.5,0.5,5,2,2,0.4,2,0.05,0.1,0.05,0.02,197,171,1,49,1313,56,55,193,25,0.5,54,0.5,0.05,62028,422,12.5,NA,NA,NA,NA,NA,NA,55.99,13.31,6.69,0.29,72.97,NA,15.41,14.1,17974.13,380.23,15.7,NA,water_2016_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Puente,BEP-100,2016-11-17,10:55,November 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,"21° 14' 21.4""","65° 12' 33.7""",-21.2392,-65.2094,0.172,0,481,184,8.032,-81.1,2080,1,23.1,7.59,118.5,14.8,1737,1710,27,NA,866.8,15,200,132.4,594.7,194.6,92.5,161.8,12.4,197.55,97.4,167.6,14.5,NA,NA,NA,NA,NA,NA,11,16,NA,NA,NA,NA,NA,NA,0.05,0.5,0.05,0.5,0.2,292,7,1,3,3,0.05,0.1,0.05,0.02,677,3360,1,1.5,411,12.5,12.5,12.5,4,0.5,1.5,0.5,0.05,1443,4800,12.5,NA,5e-4,NA,NA,NA,NA,NA,NA,37.04,NA,53333.33,NA,NA,NA,28370.37,4407.41,NA,NA,water_2016_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palca Grande,BPG-110,2016-11-17,8:20,November 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,"20° 44' 32.7""","65° 14' 26.1""",-20.7422,-65.2406,0.377,2,715,171.6,8.413,-101.5,1398,0.7,18.1,7.76,109.2,8.56,1109,1086,23,NA,409.8,10,155,56.9,470.8,74.3,54.47,91.9,11.3,77.25,59.36,91.9,12.4,NA,NA,NA,NA,NA,NA,2.5,1,NA,NA,NA,NA,NA,NA,0.05,0.5,0.05,0.5,1,87,3,1,2,6,0.05,0.1,0.05,0.02,265,1346,1,1.5,178,12.5,12.5,12.5,7,0.5,1.5,0.5,0.05,680,2067,12.5,NA,5e-4,NA,NA,NA,NA,NA,NA,43.48,NA,31347.83,NA,NA,NA,18043.48,3956.52,NA,NA,water_2016_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2016-11-16,14:00,November 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,NA,"19° 8' 11.5""","65° 34' 4.2""",-19.1365,-65.5678,0.5,0,1150,NA,8.367,-101.9,871,0.35,26.95,5.63,100.6,48.8,629,562,67,NA,225.5,15,230,16.1,146.5,38.32,31.49,32.9,13.1,38.38,33,33.3,14.1,NA,NA,NA,NA,NA,NA,6,9,NA,NA,NA,NA,NA,NA,0.05,0.5,0.05,0.5,1,43,2,1,1,0.2,0.05,0.1,0.05,0.02,182,184,1,1.5,96,12.5,49,39,1.5,0.5,5,0.5,0.05,1545,363,12.5,NA,5e-4,NA,NA,NA,NA,567.16,NA,NA,NA,2671.64,NA,731.34,NA,20343.28,791.04,NA,NA,water_2016_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2016-11-16,10:55,November 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,NA,19 7 57.3,65 34 24.5,-19.1326,-65.5735,0.672,3,819,167,8.645,-116.2,1222,0.6,21.9,7.04,114,125,849,728,121,NA,151.1,10,155,215,74.7,29.01,19.06,180.8,16.7,29.08,20.19,195.6,21.2,NA,NA,NA,NA,NA,NA,2.5,1,NA,NA,NA,NA,NA,NA,0.05,0.5,0.1,0.5,1,18,2,2,5,16,0.05,0.1,0.05,0.02,138,1686,1,11,192,12.5,27,202,29,0.5,12,0.5,0.05,4404,2969,12.5,NA,5e-4,NA,NA,NA,NA,1628.1,NA,107.44,NA,10603.31,NA,206.61,82.64,35256.2,1438.02,NA,NA,water_2016_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tarapaya,BTA-050,2016-11-15,15:50,November 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.4""","65° 47' 39.7""",-19.471800000000002,-65.7944,0.271,0,NA,NA,7.647,-47.3,1917,0.9,22.8,4.36,69,NA,1366,1236,130,NA,502.6,15,205,185.5,487.9,157.82,25.47,177.9,35.2,159.28,25.84,177.9,37.3,NA,NA,NA,NA,NA,NA,24,32,NA,NA,NA,NA,NA,NA,0.05,1,0.3,1,1,1164,16,6,408,24,0.8,1,0.05,0.02,626,255,1,1.5,2160,27,73,4107,175,10,524,3,0.05,15370,716,12.5,NA,5e-4,NA,NA,5.38,NA,28453.85,3760,1161.54,7.69,3546.15,70.77,515.38,NA,113415.38,7661.54,84.62,23.08,water_2016_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colavi - Canutillos,BC7-113,2016-11-15,11:25,November 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,"19° 19' 16.8""","65° 33' 6.9""",-19.3213,-65.5519,0.456,0,4360,132.6,7.681,-60.8,230,0,21.2,5.7,100.4,20.3,137,108,29,NA,84,2.5,30,17.6,2.9,13.26,12.29,2.1,1.7,13.38,13.42,2.1,1.9,NA,NA,NA,NA,NA,NA,11,16,NA,NA,NA,NA,NA,NA,0.05,0.5,0.05,0.5,0.1,1175,5,1,79,0.1,0.7,0.1,0.05,0.02,69,53,1,1.5,1597,12.5,66,340,1.5,1,1.5,0.5,0.05,3719,117,12.5,NA,5e-4,NA,NA,NA,NA,9000,NA,NA,NA,2206.9,10.34,2275.86,NA,125862.07,14551.72,NA,NA,water_2016_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Villa Hayes,PVH-280,2016-09-30,9:00,September 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Confuso,NA,25 6 26.52,57 32 48.12,-25.1074,-57.5467,NA,NA,NA,NA,7.656,-59.1,4230,2.3,24,7.24,87.5,19.3,2558,2538.3,19.7,90,202.8,0,140.4,1054.1,288.3,35,24,800.1,85.14,40,25,820.25,99.55,0.33,0.22,0.41,0.032,0.173,0.298,7.8,55.9,NA,9800,80,NA,NA,NA,0.1,1.5,0.1,0.5,0.2,236,33,1,12,4,0.2,0.1,0.05,NA,400,NA,1,1.5,550,12.5,12.5,35,4,0.5,3,0.5,NA,1351,250,25,NA,5e-4,5e-4,0.74,NA,1269.04,1167.51,NA,0,NA,NA,NA,NA,NA,48274.11,15939.09,NA,NA,water_2016_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montelindo en ruta PY09,PR9M-260,2016-09-29,9:30,September 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Montelindo,NA,23 53 35.6,58 26 46.8,-23.8932,-58.4463,NA,NA,NA,NA,8.188,-90.7,47700,31.1,25.5,5.1,75,16.8,21475,21415.8,59.2,80,2947.2,54,526.5,15448.2,7875.2,960,133.08,14207,26.2,960,133.08,14316,30.14,5.24,4.16,0.343,0.011,0.022,0.401,15.9,559,NA,12000,120,NA,NA,NA,0.1,1.5,0.05,0.5,0.8,5,5,1,1,3,0.05,0.1,0.05,NA,316,1838,1,3,275,12.5,59,39,62,0.5,9,0.5,NA,3363,12264,128,NA,5e-4,5e-4,0.54,NA,2162.16,658.78,NA,996.62,NA,176114.86,NA,996.62,37.16,51469.59,4560.81,NA,NA,water_2016_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
