regulator,parameter,abbr,value,unit,media,limit,notes,source,hqcr
Bolivian Law 1333,Aluminum,Al,0.2,mg/L,water,Class A,Class A limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Aluminum,NA,0.5,mg/l,water,Class B,Class B limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Aluminum,NA,1,mg/l,water,Class C,Class C limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Aluminum,NA,1,mg/l,water,Class D,Class D limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Ammonia,NH3,0.05,mg/L,water,Class A,Class A limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Ammonia,NA,1,mg/l,water,Class B,Class B limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Ammonia,NA,2,mg/l,water,Class C,Class C limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Ammonia,NA,4,mg/l,water,Class D,Class D limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Antimony,Sb,0.01,mg/L,water,Class A,Class A limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Antimony,NA,0.01,mg/l,water,Class B,Class B limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Antimony,NA,0.01,mg/l,water,Class C,Class C limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Antimony,NA,0.01,mg/l,water,Class D,Class D limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Arsenic,As,0.05,mg/L,water,Class A,Class A limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Arsenic,As,0.05,mg/l,water,Class B,Class B limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Arsenic,As,0.05,mg/l,water,Class C,Class C limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Arsenic,As,0.1,mg/l,water,Class D,Class D limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Barium,Ba,1,mg/L,water,Class A,Class A limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
CDC,Arsenic,As,1,ug/L,human urine,,,https://wwwn.cdc.gov/TSP/substances/ToxSearch.aspx,hq
EPA,Arsenic,As,3,mg/kg,soil,,For composite workers in industrial land use,,hq
EPA,Arsenic,As,0.39,mg/kg,soil,,For residential soil,,hq
EPA,Arsenic,As,32,mg/kg-d,oral,,,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=278,cr
EPA,Arsenic,As,4.3,ng/m3,inhalation,,,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=278,cr
