"","regulator","parameter","abbr","value","unit","media","limit","notes","source","hqcr","value_unif","unit_unif"
"1","Bolivian Law 1333","Aluminum","Al",0.2,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",0.2,"mg/l"
"2","Bolivian Law 1333","Ammonia","NH3",0.05,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",0.05,"mg/l"
"3","EPA","Antimony","Sb",0.006,"mg/L","water",NA,NA,"https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations","hq",0.006,"mg/l"
"4","FAO","Arsenic","As",0.01,"mg/L","drinking water",NA,"For natural mineral waters","https://www.fao.org/fao-who-codexalimentarius/sh-proxy/fr/?lnk=1&url=https%253A%252F%252Fworkspace.fao.org%252Fsites%252Fcodex%252FStandards%252FCXS%2B193-1995%252FCXS_193e.pdf","hq",0.01,"mg/L"
"5","FAO","Arsenic","As",0.2,"mg/kg","food",NA,"For rice, polished","https://www.fao.org/fao-who-codexalimentarius/sh-proxy/fr/?lnk=1&url=https%253A%252F%252Fworkspace.fao.org%252Fsites%252Fcodex%252FStandards%252FCXS%2B193-1995%252FCXS_193e.pdf","hq",0.2,"mg/kg"
"6","CDC","Arsenic","As",1,"ug/L","human urine",NA,NA,"https://wwwn.cdc.gov/TSP/substances/ToxSearch.aspx","hq",1,"ug/L"
"7","OEHHA","Arsenic","As",1.5,"mg/kg-d","inhalation",NA,NA,"https://oehha.ca.gov/sites/default/files/media/downloads/crnr/appendixa.pdf","cr",1.5,"mg/kg-d"
"8","OEHHA","Arsenic","As",12,"mg/kg-d","oral",NA,NA,"https://oehha.ca.gov/sites/default/files/media/downloads/crnr/appendixa.pdf","cr",12,"mg/kg-d"
"9","USGS","Arsenic","As",5.9,"mg/kg","sediment","TEL",NA,"https://pubs.usgs.gov/wri/wri034013/pdfs/wrir034013.pdf","hq",5.9,"mg/kg"
"10","EPA","Arsenic","As",0.39,"mg/kg","soil",NA,"For residential soil",NA,"hq",0.39,"mg/kg"
"11","EPA","Arsenic","As",0.01,"mg/L","water",NA,NA,"https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations","hq",0.01,"mg/l"
"12","Bolivian Law 1333","BOD",NA,2,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",2,"mg/l"
"13","Bolivian Law 1333","BOD5",NA,2,"mg/l","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",2,"mg/l"
"14","Bolivian Law 1333","Barium","Ba",1,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",1,"mg/l"
"15","OEHHA","Beryllium","Be",8.4,"mg/kg-d","oral",NA,NA,"https://oehha.ca.gov/sites/default/files/media/downloads/crnr/appendixa.pdf","cr",8.4,"mg/kg-d"
"16","Bolivian Law 1333","Beryllium","Be",0.001,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",0.001,"mg/l"
