"","regulator","parameter","abbr","value","unit","media","limit","notes","source","hqcr"
"1","USGS","0.486","Hg",NA,"mg/kg","sediment","PEL",NA,NA,"hq"
"2","USGS","17","As",NA,"mg/kg","sediment","PEL",NA,NA,"hq"
"3","USGS","197","Cu",NA,"mg/kg","sediment","PEL",NA,NA,"hq"
"4","USGS","3.53","Cd",NA,"mg/kg","sediment","PEL",NA,NA,"hq"
"5","USGS","315","Zn",NA,"mg/kg","sediment","PEL",NA,NA,"hq"
"6","USGS","36","Ni",NA,"mg/kg","sediment","PEL",NA,NA,"hq"
"7","USGS","90","Cr",NA,"mg/kg","sediment","PEL",NA,NA,"hq"
"8","USGS","91.3","Pb",NA,"mg/kg","sediment","PEL",NA,NA,"hq"
"9","Bolivian Law 1333","Aluminum","Al",0.2,"mg/L","water","Class A","Class A limit",NA,"hq"
"10","Bolivian Law 1333","Ammonia","NH3",0.05,"mg/L","water","Class A","Class A limit",NA,"hq"
"11","EPA","Antimony","Sb",0.006,"mg/L","water",NA,NA,"https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations","hq"
"12","FAO","Arsenic","As",0.01,"mg/L","drinking water",NA,"For natural mineral waters","https://www.fao.org/fao-who-codexalimentarius/sh-proxy/fr/?lnk=1&url=https%253A%252F%252Fworkspace.fao.org%252Fsites%252Fcodex%252FStandards%252FCXS%2B193-1995%252FCXS_193e.pdf","hq"
"13","FAO","Arsenic","As",0.2,"mg/kg","food",NA,"For rice, polished","https://www.fao.org/fao-who-codexalimentarius/sh-proxy/fr/?lnk=1&url=https%253A%252F%252Fworkspace.fao.org%252Fsites%252Fcodex%252FStandards%252FCXS%2B193-1995%252FCXS_193e.pdf","hq"
"14","CDC","Arsenic","As",10,"ug/L","human urine",NA,NA,NA,"hq"
"15","EPA","Arsenic","As",4.3,"ng/m3","inhalation",NA,NA,"https://iris.epa.gov/ChemicalLanding/&substance_nmbr=278","cr"
"16","EPA","Arsenic","As",32,"mg/kg-d","oral",NA,NA,"https://iris.epa.gov/ChemicalLanding/&substance_nmbr=278","cr"
"17","USGS","Arsenic","As",5.9,"mg/kg","sediment","TEL",NA,NA,"hq"
"18","EPA","Arsenic","As",0.39,"mg/kg","soil",NA,"For residential soil",NA,"hq"
"19","WHO","Arsenic","As",0.01,"mg/L","water",NA,NA,NA,"hq"
"20","Bolivian Law 1333","BOD",NA,2,"mg/L","water","Class A","Class A limit",NA,"hq"
"21","Bolivian Law 1333","BOD5",NA,2,"mg/l","water","Class A","Class A limit",NA,"hq"
"22","Bolivian Law 1333","Barium","Ba",1,"mg/L","water","Class A","Class A limit",NA,"hq"
"23","Bolivian Law 1333","Beryllium","Be",0.001,"mg/L","water","Class A","Class A limit",NA,"hq"
"24","Bolivian Law 1333","Boron","B",1,"mg/L","water","Class A","Class A limit",NA,"hq"
"25","Bolivian Law 1333","COD",NA,5,"mg/L","water","Class A","Class A limit",NA,"hq"
"26","FAO","Cadmium","Cd",0.003,"mg/L","drinking water",NA,"For natural mineral waters","https://www.fao.org/fao-who-codexalimentarius/sh-proxy/fr/?lnk=1&url=https%253A%252F%252Fworkspace.fao.org%252Fsites%252Fcodex%252FStandards%252FCXS%2B193-1995%252FCXS_193e.pdf","hq"
"27","FAO","Cadmium","Cd",0.05,"mg/kg","food",NA,"Lowest MCL for Cadmium in local crops. Should be considered on a monthly intake basis","https://www.fao.org/fao-who-codexalimentarius/sh-proxy/fr/?lnk=1&url=https%253A%252F%252Fworkspace.fao.org%252Fsites%252Fcodex%252FStandards%252FCXS%2B193-1995%252FCXS_193e.pdf","hq"
"28","CDC","Cadmium","Cd",1,"ug/dL","human blood",NA,NA,NA,"hq"
"29","USGS","Cadmium","Cd",0.596,"mg/kg","sediment","TEL",NA,NA,"hq"
"30","EPA","Cadmium","Cd",71,"mg/kg","soil",NA,"For composite workers in industrial land use",NA,"hq"
"31","WHO","Cadmium","Cd",0.003,"mg/L","water",NA,NA,NA,"hq"
"32","Bolivian Law 1333","Calcium","Na",200,"mg/L","water","Class A","Class A limit",NA,"hq"
"33","Bolivian Law 1333","Chlorides","Cl",250,"mg/L","water","Class A","Class A limit",NA,"hq"
"34","USGS","Chromium","Cr",37.3,"mg/kg","sediment","TEL",NA,NA,"hq"
"35","Bolivian Law 1333","Chromium","Cr hex",0.05,"mg/L","water","Class A","Class A limit",NA,"hq"
"36","Bolivian Law 1333","Cobalt","Co",0.1,"mg/L","water","Class A","Class A limit",NA,"hq"
"37","Bolivian Law 1333","Color",NA,10,"mg/L","water","Class A","Class A limit",NA,"hq"
"38","USGS","Copper","Cu",35.7,"mg/kg","sediment","TEL",NA,NA,"hq"
"39","Bolivian Law 1333","Copper","Cu",0.05,"mg/L","water","Class A","Class A limit",NA,"hq"
"40","Bolivian Law 1333","DO",NA,50,"mg/l","water","Class D","Class D limit",NA,"hq"
"41","Bolivian Law 1333","Iron","Fe",0.3,"mg/L","water","Class A","Class A limit",NA,"hq"
"42","FAO","Lead","Pb",0.05,"mg/kg","food",NA,"Lowest MCL for Lead in local crops","https://www.fao.org/fao-who-codexalimentarius/sh-proxy/fr/?lnk=1&url=https%253A%252F%252Fworkspace.fao.org%252Fsites%252Fcodex%252FStandards%252FCXS%2B193-1995%252FCXS_193e.pdf","hq"
"43","CDC","Lead","Pb",3.5,"ug/dL","human blood",NA,"Reference limit for children ages 1-5.","https://www.cdc.gov/lead-prevention/php/news-features/updates-blood-lead-reference-value.html","hq"
"44","USGS","Lead","Pb",35,"mg/kg","sediment","TEL",NA,NA,"hq"
"45","EPA","Lead","Pb",400,"mg/kg","soil",NA,"For residential soil",NA,"hq"
"46","WHO","Lead","Pb",0.01,"mg/L","water",NA,NA,NA,"hq"
"47","Bolivian Law 1333","Lithium","Li",2.5,"mg/L","water","Class A","Class A limit",NA,"hq"
"48","Bolivian Law 1333","Magnesium","Mg",100,"mg/L","water","Class A","Class A limit",NA,"hq"
"49","Bolivian Law 1333","Manganese","Mn",0.5,"mg/L","water","Class A","Class A limit",NA,"hq"
"50","CDC","Mercury","Hg",5,"ug/dL","human blood",NA,NA,NA,"hq"
"51","US EPA","Mercury","Hg",0.13,"mg/kg","sediment",NA,NA,NA,"hq"
"52","EPA","Mercury","Hg",23,"mg/kg","soil",NA,"For residential soil",NA,"hq"
"53","Bolivian Law 1333","Mercury","Hg",0.001,"mg/L","water","Class A","Class A limit",NA,"hq"
"54","USGS","Nickel","Ni",18,"mg/kg","sediment","TEL",NA,NA,"hq"
"55","Bolivian Law 1333","Nickel","Ni",0.05,"mg/L","water","Class A","Class A limit",NA,"hq"
"56","Bolivian Law 1333","Nitrate","NO3",20,"mg/L","water","Class A","Class A limit",NA,"hq"
"57","Bolivian Law 1333","Nitrogen","N",5,"mg/L","water","Class A","Class A limit",NA,"hq"
"58","Bolivian Law 1333","Oxygen Saturation",NA,80,"%","water","Class A","Class A limit",NA,"hq"
