OBJECTID,ORIG_FID,index,elev,smoothed_elev,distance_m,smoothed_slope
1,1,1,2648,2648.0206349901123,100,NA
2,1,2,2648,2647.416166851375,200,-0.0060446813873750215
3,1,3,2647,2646.8129421599933,300,-0.00603224691381456
4,1,4,2646,2646.2109721996217,400,-0.006019699603716617
5,1,5,2645,2645.610268253915,500,-0.006007039457067549
6,1,6,2645,2645.0108416065264,600,-0.005994266473885545
7,1,7,2645,2644.41270354111,700,-0.005981380654161512
8,1,8,2644,2643.815865341322,800,-0.005968381997881807
9,1,9,2643,2643.220338290814,900,-0.005955270505078261
10,1,10,2643,2642.6261336732427,1000,-0.0059420461757144945
11,1,11,2642,2642.0332627722596,1100,-0.005928709009831437
12,1,12,2641,2641.441736871521,1200,-0.005915259007388159
13,1,13,2640,2640.8515672546787,1300,-0.00590169616842104
14,1,14,2639,2640.26276520539,1400,-0.005888020492884607
15,1,15,2639,2639.6753420073073,1500,-0.005874231980828881
16,1,16,2638,2639.0893089440847,1600,-0.005860330632226578
17,1,17,2638,2638.504677299377,1700,-0.005846316447077698
18,1,18,2638,2637.9214583568373,1800,-0.0058321894253958815
19,1,19,2644,2637.3396634001206,1900,-0.0058179495671674885
20,1,20,2639,2636.7593037128813,2000,-0.005803596872392518
21,1,21,2638,2636.1803905787733,2100,-0.005789131341080065
22,1,22,2637,2635.6029352814508,2200,-0.005774552973225582
23,1,23,2637,2635.026949104568,2300,-0.005759861768829069
24,1,24,2634,2634.452443331779,2400,-0.005745057727890526
25,1,25,2634,2633.8794292467373,2500,-0.0057301408504145
26,1,26,2633,2633.307918133098,2600,-0.005715111136391897
27,1,27,2633,2632.737921274516,2700,-0.005699968585822716
28,1,28,2632,2632.1694499546434,2800,-0.005684713198725148
29,1,29,2631,2631.6025154571357,2900,-0.005669344975076456
30,1,30,2631,2631.037160448299,3000,-0.00565355008836832
31,1,31,2629,2630.4734035582132,3100,-0.005637568900856422
32,1,32,2629,2629.911220016198,3200,-0.00562183542015191
33,1,33,2629,2629.3505850515703,3300,-0.005606349646277522
34,1,34,2628,2628.791473893647,3400,-0.005591111579233257
35,1,35,2627,2628.2338617717487,3500,-0.005576121218982735
36,1,36,2626,2627.6777239151907,3600,-0.005561378565580526
37,1,37,2626,2627.123035553292,3700,-0.005546883618985703
38,1,38,2626,2626.569771915371,3800,-0.005532636379211908
39,1,39,2625,2626.017908230743,3900,-0.005518636846277332
40,1,40,2625,2625.467419728729,4000,-0.005504885020141046
41,1,41,2625,2624.9182816386447,4100,-0.005491380900843978
42,1,42,2624,2624.3704691898092,4200,-0.005478124488354297
43,1,43,2623,2623.8239576115398,4300,-0.0054651157826947384
44,1,44,2623,2623.2787221331537,4400,-0.005452354783860755
45,1,45,2623,2622.7347379839703,4500,-0.005439841491834158
46,1,46,2622,2622.1919803933065,4600,-0.005427575906637685
47,1,47,2621,2621.65042459048,4700,-0.005415558028266787
48,1,48,2621,2621.110045804809,4800,-0.005403787856707822
49,1,49,2620,2620.570819265611,4900,-0.005392265391978981
50,1,50,2620,2620.032720202205,5000,-0.005380990634062072
51,1,51,2620,2619.4957238439074,5100,-0.005369963582975288
52,1,52,2619,2618.9598054200364,5200,-0.005359184238709531
53,1,53,2618,2618.424940159911,5300,-0.005348652601255708
54,1,54,2618,2617.891103292847,5400,-0.005338368670636555
55,1,55,2617,2617.3582700481634,5500,-0.005328332446838431
