parameter,n_water,n_sediment,mean_kd,median_kd,p25_kd,p75_kd,min_kd,max_kd
Arsenic,134,417,8489.37,961.66,190.78,2826.95,4.24,605451.56
Bismuth,46,126,162.18,47.93,3.69,80.64,0.09,2020.61
Boron,152,479,1555.66,59.9,21.03,171.81,0.41,61525.62
Cadmium,91,248,850.36,78.94,29.93,663.14,1.36,32468
Chromium,88,264,1782.15,682.23,75.21,2102.44,1.58,27301.53
Copper,144,448,1970.94,341.79,81.06,886.12,1.84,94140
Iron,197,645,2295803.01,5878.95,1054.02,28715.63,3.46,93346912.52
Lead,107,334,4456.14,294.96,73.09,1855.64,5.26,64499.74
Manganese,181,591,86753.04,2171.43,418.16,5624.98,3.32,5976828.71
Mercury,36,102,364.57,166.66,13.43,392.84,0.95,2251.34
Nickel,94,285,3627.84,1739.49,176.92,4299.68,3.92,25310.12
Selenium,49,118,215.37,11,1.09,227.23,0.12,2501
Silver,39,108,572.14,0.82,0.02,250.4,0,4999.4
Thallium,14,52,183.24,52.64,13.89,148.08,4.29,1329.71
Zinc,139,471,4343.06,472.38,172,1212.17,2.76,216569.3
