parameter,n_dissolved,n_suspended,mean_kd,median_kd,p25_kd,p75_kd,min_kd,max_kd
Arsenic,177,177,61.24,6.29,1.2,30.2,0.02,4059.98
Bismuth,57,57,113.92,29.99,2.42,60.13,0.02,684.56
Boron,198,198,18.64,0.29,0.1,0.98,0,729.09
Cadmium,107,107,46.5,7.2,2.97,26.9,0.01,2359.24
Chromium,113,113,156.18,29,6.5,100,0.03,2619.78
Copper,182,182,93.24,15.41,3.4,66.6,0.01,2930.37
Iron,253,253,697.25,25.8,4.55,176.97,0.01,24458.8
Lead,143,143,423.7,75.36,3.83,333,0.37,10177.48
Manganese,232,232,178.73,3.04,0.35,61.49,0,4095.94
Mercury,58,58,29.12,13.47,6.05,19.76,0.5,531.72
Nickel,127,127,96.5,6,0.79,69.74,0.03,2252.07
Selenium,65,65,35.05,20,6,52,0.4,170.07
Silver,49,49,2140.63,62.14,4.55,1679.31,0.07,17445.68
Thallium,19,19,55.16,42,10.1,56.62,2.33,239.68
Zinc,180,180,116.93,8.46,1.78,52.36,0,3444.91
