OBJECTID,ORIG_FID,index,elev,smoothed_elev,distance_m,smoothed_slope
1,1,1,2887,2880.4782159707715,100,NA
2,1,2,2884,2879.9500316638987,200,-0.005281843068728449
3,1,3,2883,2879.422803005603,300,-0.005272286582958259
4,1,4,2884,2878.8965348862835,400,-0.005262681193194112
5,1,5,2905,2878.371232196339,500,-0.0052530268994451035
6,1,6,2922,2877.8468998261715,600,-0.005243323701674854
7,1,7,2897,2877.323542666181,700,-0.0052335715999061
8,1,8,2916,2876.801165606766,800,-0.0052237705941479366
9,1,9,2879,2876.279773538327,900,-0.005213920684391269
10,1,10,2878,2875.7593713512642,1000,-0.005204021870627002
11,1,11,2875,2875.2399639359774,1100,-0.005194074152868779
12,1,12,2873,2874.7215561828675,1200,-0.00518407753109841
13,1,13,2872,2874.204152982334,1300,-0.005174032005334084
14,1,14,2871,2873.687759224776,1400,-0.0051639375755803485
15,1,15,2870,2873.1723798005946,1500,-0.005153794241814467
16,1,16,2871,2872.658019600189,1600,-0.005143602004054628
17,1,17,2868,2872.1446835139604,1700,-0.0051333608622871904
18,1,18,2867,2871.6323764323074,1800,-0.005123070816530344
19,1,19,2869,2871.12110324563,1900,-0.0051127318667749935
20,1,20,2868,2870.61086884433,2000,-0.005102344012998401
21,1,21,2867,2870.1016781188055,2100,-0.005091907255246042
22,1,22,2866,2869.5935359594578,2200,-0.005081421593476989
23,1,23,2865,2869.086447256686,2300,-0.005070887027718527
24,1,24,2864,2868.5804169008898,2400,-0.005060303557961561
25,1,25,2864,2868.0754497824705,2500,-0.005049671184192448
26,1,26,2862,2867.571550791827,2600,-0.005038989906433926
27,1,27,2862,2867.068724819359,2700,-0.005028259724681448
28,1,28,2862,2866.566976755468,2800,-0.0050174806389077274
29,1,29,2862,2866.0663114905533,2900,-0.005006652649149146
30,1,30,2862,2865.5667339150145,3000,-0.004995775755387513
31,1,31,2862,2865.0682489192523,3100,-0.004984849957622828
32,1,32,2860,2864.570861393666,3200,-0.004973875255864187
33,1,33,2860,2864.074576228655,3300,-0.004962851650107041
34,1,34,2859,2863.579398314621,3400,-0.004951779140342296
35,1,35,2858,2863.0853325419625,3500,-0.004940657726583595
36,1,36,2857,2862.592383801081,3600,-0.004929487408817295
37,1,37,2857,2862.1005569823747,3700,-0.004918268187061585
38,1,38,2857,2861.6098569762453,3800,-0.0049070000612937295
39,1,39,2856,2861.1202886730916,3900,-0.004895683031536464
40,1,40,2856,2860.631856963314,4000,-0.004884317097776147
41,1,41,2856,2860.1445667373123,4100,-0.004872902260017326
42,1,42,2856,2859.658422885487,4200,-0.004861438518250907
43,1,43,2855,2859.1734302982377,4300,-0.004849925872495078
44,1,44,2855,2858.6895938659645,4400,-0.00483836432273165
45,1,45,2854,2858.2069184790676,4500,-0.004826753868969718
46,1,46,2853,2857.7254090279466,4600,-0.004815094511209281
47,1,47,2853,2857.2450704030016,4700,-0.004803386249450341
48,1,48,2853,2856.7659074946328,4800,-0.004791629083688349
49,1,49,2853,2856.28792519324,4900,-0.004779823013927853
50,1,50,2852,2855.8111283892226,5000,-0.0047679680401734
51,1,51,2851,2855.335521972983,5100,-0.004756064162397706
52,1,52,2852,2854.8611108349182,5200,-0.004744111380646245
53,1,53,2850,2854.38789986543,5300,-0.004732109694882638
54,1,54,2851,2853.915893954917,5400,-0.0047200591051296216
55,1,55,2850,2853.4450979937806,5500,-0.0047079596113644585
56,1,56,2850,2852.97551687242,5600,-0.0046958112136053385
57,1,57,2850,2852.5071554812357,5700,-0.0046836139118431675
58,1,58,2850,2852.040018710628,5800,-0.004671367706077944
59,1,59,2850,2851.574111450995,5900,-0.00465907259632786
60,1,60,2849,2851.109438592739,6000,-0.004646728582561082
61,1,61,2847,2850.6460050262585,6100,-0.004634335664804894
62,1,62,2847,2850.183815641955,6200,-0.00462189384303656
63,1,63,2847,2849.72288234002,6300,-0.004609333019348014
64,1,64,2847,2849.263207875207,6400,-0.004596744648129061
65,1,65,2847,2848.8047834197496,6500,-0.004584244554575889
66,1,66,2846,2848.347600145883,6600,-0.004571832738665762
67,1,67,2846,2847.8916492258436,6700,-0.004559509200394132
68,1,68,2846,2847.4369218318648,6800,-0.004547273939788283
69,1,69,2845,2846.9834091361836,6900,-0.004535126956811837
70,1,70,2845,2846.531102311035,7000,-0.0045230682514875295
71,1,71,2844,2846.0799925286533,7100,-0.004511097823815362
72,1,72,2845,2845.6300709612747,7200,-0.004499215673786239
73,1,73,2845,2845.1813287811333,7300,-0.004487421801413803
74,1,74,2844,2844.733757160465,7400,-0.00447571620668441
75,1,75,2843,2844.287347271506,7500,-0.004464098889588968
76,1,76,2844,2843.8420902864905,7600,-0.004452569850154759
77,1,77,2842,2843.3979773776537,7700,-0.004441129088368143
78,1,78,2842,2842.954999717231,7800,-0.004429776604224571
79,1,79,2841,2842.5131484774574,7900,-0.004418512397737686
80,1,80,2841,2842.0724148305694,8000,-0.004407336468880203
81,1,81,2841,2841.6327899488006,8100,-0.004396248817688502
82,1,82,2839,2841.194265004387,8200,-0.004385249444135297
83,1,83,2842,2840.7568311695645,8300,-0.004374338348225137
84,1,84,2838,2840.320479616566,8400,-0.004363515529985307
85,1,85,2839,2839.88520151763,8500,-0.004352780989361236
86,1,86,2838,2839.450988044989,8600,-0.004342134726407494
87,1,87,2839,2839.01783037088,8700,-0.004331576741092249
88,1,88,2837,2838.585719667537,8800,-0.004321107033429143
89,1,89,2837,2838.154647107197,8900,-0.004310725603399988
90,1,90,2837,2837.7246038620933,9000,-0.004300432451036613
91,1,91,2837,2837.2955811044617,9100,-0.0042902275763162835
92,1,92,2836,2836.8675700065387,9200,-0.004280110979229903
93,1,93,2836,2836.440561740558,9300,-0.004270082659804757
94,1,94,2836,2836.014547478756,9400,-0.004260142618022655
95,1,95,2835,2835.5895183933662,9500,-0.0042502908538972406
96,1,96,2835,2835.1654656566266,9600,-0.00424052736739668
97,1,97,2835,2834.742380440769,9700,-0.004230852158575544
98,1,98,2834,2834.320253918032,9800,-0.004221265227370168
99,1,99,2834,2833.8990772606485,9900,-0.0042117665738351205
100,1,100,2833,2833.4788416408546,10000,-0.00420235619793857
101,1,101,2833,2833.059538230886,10100,-0.004193034099685065
102,1,102,2831,2832.641158202977,10200,-0.004183800279092793
103,1,103,2831,2832.2236927293634,10300,-0.004174654736134471
104,1,104,2832,2831.80713298228,10400,-0.0041655974708328354
105,1,105,2831,2831.3914701339636,10500,-0.00415662848316515
106,1,106,2831,2830.9766953566477,10600,-0.004147747773158699
107,1,107,2829,2830.562799822568,10700,-0.004138955340795292
108,1,108,2832,2830.14977470396,10800,-0.004130251186084024
109,1,109,2830,2829.737611173058,10900,-0.004121635309015801
110,1,110,2829,2829.326300402099,11000,-0.004113107709590622
111,1,111,2829,2828.9158335633174,11100,-0.004104668387817582
112,1,112,2829,2828.5062018289477,11200,-0.004096317343696683
113,1,113,2833,2828.097396371226,11300,-0.004088054577218827
114,1,114,2828,2827.689408362388,11400,-0.004079880088379468
115,1,115,2827,2827.2822289746664,11500,-0.004071793877214986
116,1,116,2827,2826.8758493802998,11600,-0.004063795943666264
117,1,117,2827,2826.470260751522,11700,-0.004055886287778776
118,1,118,2827,2826.0654542605675,11800,-0.004048064909543427
119,1,119,2826,2825.661421079673,11900,-0.004040331808946576
120,1,120,2825,2825.2581523810727,12000,-0.004032686986001863
121,1,121,2825,2824.8556393370027,12100,-0.004025130440700195
