OBJECTID,ORIG_FID,index,elev,smoothed_elev,distance_m,smoothed_slope
1,1,1,3567,3466.7870542202254,100,NA
2,1,2,3554,3465.99630025401,200,-0.007907539662155613
3,1,3,3557,3465.2053908350003,300,-0.007909094190094947
4,1,4,3548,3464.414326834656,400,-0.007910640003442495
5,1,5,3546,3463.623109124443,500,-0.007912177102130045
6,1,6,3543,3462.831738575824,600,-0.007913705486189429
7,1,7,3540,3462.0402160602616,700,-0.007915225155625195
8,1,8,3539,3461.248542449219,800,-0.007916736110428247
9,1,9,3541,3460.4567186141594,900,-0.007918238350594037
10,1,10,3534,3459.6647454265462,1000,-0.007919731876131663
11,1,11,3539,3458.872623757843,1100,-0.007921216687032029
12,1,12,3531,3458.0803544795126,1200,-0.007922692783304229
13,1,13,3526,3457.2879384630182,1300,-0.007924160164943714
14,1,14,3521,3456.495376579823,1400,-0.007925618831950487
15,1,15,3519,3455.7026697013907,1500,-0.007927068784324547
16,1,16,3514,3454.909818699183,1600,-0.007928510022079536
17,1,17,3513,3454.1168244446644,1700,-0.007929942545183621
18,1,18,3514,3453.3236878092985,1800,-0.007931366353659541
19,1,19,3508,3452.530409664548,1900,-0.007932781447502748
20,1,20,3506,3451.7369908818755,2000,-0.007934187826726884
21,1,21,3506,3450.9434323327446,2100,-0.007935585491309212
22,1,22,3502,3450.149734888618,2200,-0.007936974441267921
23,1,23,3502,3449.35589942096,2300,-0.007938354676575728
24,1,24,3498,3448.5619268012333,2400,-0.00793972619726901
25,1,25,3502,3447.767817900901,2500,-0.007941089003325033
26,1,26,3518,3446.9735735914264,2600,-0.007942443094743795
27,1,27,3511,3446.179194744272,2700,-0.007943788471543485
28,1,28,3488,3445.3846822309024,2800,-0.00794512513369682
29,1,29,3485,3444.5900369227793,2900,-0.007946453081231084
30,1,30,3489,3443.795259691367,3000,-0.00794777231412354
31,1,31,3477,3443.000351408129,3100,-0.007949082832378735
32,1,32,3475,3442.2053129445267,3200,-0.007950384636023955
33,1,33,3474,3441.4101451720253,3300,-0.007951677725013723
34,1,34,3473,3440.614848962087,3400,-0.007952962099384422
35,1,35,3469,3439.819425186174,3500,-0.007954237759126953
36,1,36,3467,3439.0238747157528,3600,-0.007955504704214036
37,1,37,3466,3438.2281984222836,3700,-0.007956762934691141
38,1,38,3465,3437.4323971772296,3800,-0.007958012450540081
39,1,39,3463,3436.6364718520554,3900,-0.007959253251742666
40,1,40,3461,3435.8404233182237,4000,-0.007960485338317084
41,1,41,3460,3435.0442524471973,4100,-0.007961708710263337
42,1,42,3460,3434.2479601104405,4200,-0.007962923367567782
43,1,43,3457,3433.4515471794157,4300,-0.007964129310248608
44,1,44,3456,3432.655014525585,4400,-0.007965326538305817
45,1,45,3453,3431.8583630204134,4500,-0.00796651505171667
46,1,46,3453,3431.0615935353644,4600,-0.00796769485049026
47,1,47,3450,3430.264706941899,4700,-0.007968865934653877
48,1,48,3449,3429.4677041114824,4800,-0.00797002830416659
49,1,49,3448,3428.6705859155772,4900,-0.007971181959051136
50,1,50,3446,3427.8733532256456,5000,-0.007972326899316613
51,1,51,3444,3427.076006913152,5100,-0.007973463124935734
52,1,52,3443,3426.27854784956,5200,-0.007974590635922141
53,1,53,3441,3425.480976906331,5300,-0.007975709432289478
54,1,54,3440,3424.6832949549303,5400,-0.00797681951400591
55,1,55,3438,3423.885502866819,5500,-0.007977920881112368
56,1,56,3438,3423.087601513462,5600,-0.00797901353357247
57,1,57,3436,3422.2895917663222,5700,-0.00798009747139531
58,1,58,3435,3421.4914744968614,5800,-0.007981172694608176
59,1,59,3433,3420.6932505765444,5900,-0.007982239203170139
60,1,60,3433,3419.8949208768345,6000,-0.007983296997099387
61,1,61,3434,3419.0964862691935,6100,-0.007984346076409566
62,1,62,3433,3418.2979476250853,6200,-0.007985386441082482
63,1,63,3431,3417.499305815974,6300,-0.007986418091113591
64,1,64,3428,3416.700561713321,6400,-0.007987441026530177
65,1,65,3427,3415.901716188591,6500,-0.007988455247300408
66,1,66,3425,3415.102770113247,6600,-0.007989460753437925
67,1,67,3422,3414.303724358751,6700,-0.007990457544960918
68,1,68,3422,3413.5045797965677,6800,-0.007991445621833008
69,1,69,3425,3412.70533729816,6900,-0.007992424984076934
70,1,70,3420,3411.90599773499,7000,-0.007993395631701787
71,1,71,3415,3411.1065619785218,7100,-0.007994357564680286
72,1,72,3419,3410.307030900219,7200,-0.007995310783026071
73,1,73,3413,3409.507405371544,7300,-0.007996255286752785
74,1,74,3414,3408.70768626396,7400,-0.007997191075837691
75,1,75,3417,3407.907874448931,7500,-0.007998118150289883
76,1,76,3414,3407.1079707979193,7600,-0.007999036510118457
77,1,77,3411,3406.3079761823888,7700,-0.007999946155305224
78,1,78,3410,3405.5078914738024,7800,-0.008000847085863825
79,1,79,3414,3404.707717543622,7900,-0.008001739301803354
80,1,80,3408,3403.9074552633138,8000,-0.008002622803082886
81,1,81,3404,3403.1071055043385,8100,-0.008003497589752441
82,1,82,3405,3402.3066691381596,8200,-0.008004363661789284
