station,HQ,lat,lon
El Potrillo,13664.4636,-23.137773703703704,-61.96387981481482
Puente Aruma - Automática,7345.441999999991,-20.913858166666664,-64.11047716666667
General Díaz,7251.714965693983,-23.573802222222223,-60.55715222222222
Chuquiago,4583.419999999999,-21.56105838888889,-65.64757744444445
Misión La Paz - SNIH,4020.1866466666525,-22.37808212962963,-62.518597523148145
Yocalla,3932.4849983499807,-19.396924777777777,-65.90734811111112
María Cristina,2685.5391779999995,-22.686223518518517,-62.20164580246914
Tumusla,2092.3769999999954,-20.487081111111113,-65.61846794444443
San Josecito,2087.689397099989,-21.15208111111111,-64.235401
San Antonio - Potosí,1960.4999999999998,-19.578187474747473,-65.80334393939394
Cotagaita,1931.5463355332404,-20.821809388888887,-65.66532955555556
Colavi - Canutillos,1774.1199999999992,-19.321421837606838,-65.55200673076922
Puente Mendez,1758.034964,-19.353868222222225,-65.18177716666668
Agropil,1479.3554533332622,-23.170266805555556,-61.62470944444445
La Angostura,1059.5259971999842,-21.502009472222223,-65.7055941388889
El Solitario,803.0157863999848,-22.860161666666666,-62.01918766666667
Tarapaya,776.8049996999999,-19.47185631111111,-65.79425848888889
Liviara,737.2609764399997,-22.530968819444443,-66.34902263888888
General Bruguez,699.3659800449998,-24.74829049382716,-58.83305240740741
Tacobamba arriba Pilcomayo,657.8099999999986,-19.14354388888889,-65.56632141203703
Pilcomayo arriba Tacobamba,572.0199999999985,-19.13223237179487,-65.57219858974359
Canutillos 3,497.1693333333319,-19.346527777777776,-65.54525
Palca Grande,325.65831125000005,-20.74225064102564,-65.24077222222222
Talula - Automática,263.075,-19.13070351851852,-65.33971290123456
El Puente,238.00000279999998,-21.239186923076925,-65.20929803418804
La Quiaca,207.24499999999927,-22.097702160493824,-65.58606783950617
Clorinda,205.67299889999998,-25.265434722222224,-57.72887756944445
Ruta 95,159.35499999999996,-25.14862722222222,-59.67937714285714
Puente Loyola,146.182603135,-25.264315777777778,-57.72448633333333
Hacienda 9 de junio,142.00023769999996,-23.453214,-60.87652055555556
Ruta 11,140.8477963,-25.788147469135804,-58.02145518518518
Meyer Sitio 01,131.36573333333334,-22.645346555555555,-62.228166
Viña Quemada,129.24998349999998,-19.413725333333332,-64.85967261111111
Montelindo en ruta PY09,125.5670013,-23.893122708333333,-58.44635291666666
Salida Laguna Salada,124.14000757499997,-24.69867401234568,-59.77954592592593
Villamontes,109.99998937499998,-21.25855784722222,-63.51156872685185
Ruta 28-Vertedero,88.64719895999998,-24.364875,-60.309954930555556
Negro Ruta PY09,47.24083365599999,-24.18964126984127,-58.300038888888885
Tinfunke,36.16879932,-23.758831944444445,-60.130094444444445
Potosí - Naciente río La Ribera,32.29999999999997,-19.59860259259259,-65.73206907407408
Marca Borrada,21.38583525833333,-22.213566666666665,-62.68803333333333
Verde Ruta PY09,20.1065,-23.21501111111111,-59.20266111111111
Villa Hayes,18.159999999999997,-25.1073165,-57.54672211111111
Cadete Pando,12.505799999999997,-24.409639444444444,-58.886095555555556
Montelindo en Hacienda Sta Ana,12.499999999999998,-23.719194444444444,-59.52897222222222
